x	y	z
22.6262	11.1444	0
36.8169	17.9391	0
-31.4026	12.5252	0
63.0183	11.4177	0
-44.5141	15.9068	0
76.2131	3.44796	0
-61.7245	-0.457354	0
92.1444	-2.22874	0
-95.2408	4.67297	0
130.117	-9.63399	0
11.3661	15.9656	0
125.882	8.54702	0
19.431	-8.13229	0
21.623	27.8375	0
27.5264	-22.658	0
-118.76	-7.81231	0
78.2548	112.991	0
37.1781	35.5476	0
44.2983	-12.9313	0
-22.7433	17.3069	0
-51.6582	-14.9258	0
76.6063	20.3085	0
60.5279	-5.02384	0
-72.2273	18.0131	0
-90.8348	-27.753	0
93.0418	16.2654	0
75.8452	-14.6089	0
-90.2322	21.2674	0
-70.0285	-13.9109	0
105.493	35.6056	0
74.7426	45.7274	0
-112.681	7.09014	0
108.75	-44.8638	0
124.473	27.9775	0
144.797	-21.0964	0
-131.309	32.6043	0
-15.7795	-87.3669	0
7.42829	40.7267	0
-10.4276	-35.2051	0
24.7787	45.7958	0
14.6139	-35.4239	0
-104.122	-31.3934	0
-38.5851	-46.7748	0
42.5335	52.1287	0
59.3139	-21.8765	0
-73.5116	59.2573	0
-20.3187	26.1796	0
67.5577	38.3856	0
93.3309	-39.7434	0
-77.8708	35.0367	0
30.6681	99.5645	0
86.8026	34.2537	0
96.9055	-55.1287	0
-88.7838	32.5102	0
-93.5584	-41.6802	0
121.114	46.3549	0
124.509	-28.6322	0
95.1414	41.8136	0
-104.288	-7.74334	0
139.362	39.0171	0
139.646	-39.0059	0
-10.2328	38.2776	0
-133.538	-33.8464	0
13.6818	56.8329	0
10.0715	-65.2221	0
-20.4117	116.453	0
-7.3905	-61.2175	0
28.6489	61.9371	0
35.6771	-57.7343	0
33.5774	110.296	0
-77.7326	-26.9744	0
61.3395	55.9239	0
67.4859	-63.3269	0
-62.6203	75.6725	0
81.6344	-49.9661	0
78.1505	61.3987	0
85.5876	-69.0099	0
-89.4731	49.4356	0
-75.8454	-43.4327	0
151.481	26.7171	0
-4.67394	-103.995	0
-27.4443	-110.68	0
-110.916	-45.5251	0
136.816	58.026	0
127.259	-70.8094	0
-115.07	39.8169	0
-128.842	-53.1411	0
-18.3638	64.4354	0
15.4896	-82.0273	0
17.5373	73.8797	0
31.9547	-75.9114	0
-26.0564	87.5887	0
-2.5054	-76.9799	0
65.2448	73.8129	0
63.9641	-80.1466	0
-44.8117	81.6151	0
-49.842	-96.6001	0
82.2	79.4314	0
79.9496	-87.7765	0
-82.3865	75.2767	0
-68.0744	-57.7706	0
93.9136	66.5378	0
104.455	-100.42	0
-98.4055	65.3735	0
-32.8555	54.1339	0
122.628	81.363	0
124.264	-45.8194	0
-114.708	57.949	0
-112.259	-79.7549	0
5.27765	109.197	0
31.0048	-112.914	0
-8.77242	95.6231	0
-28.841	-125.914	0
45.193	118.703	0
47.5803	-105.49	0
-23.8521	103.555	0
-8.74227	-129.965	0
68.7902	92.9486	0
64.0001	-97.5005	0
-70.4139	106.374	0
-64.6488	-107.524	0
86.9235	97.4083	0
-15.4571	12.2668	0
-87.3103	97.8714	0
100.447	-14.8996	0
104.06	98.7105	0
96.0822	-116.479	0
-99.2914	83.8555	0
-83.1827	-93.3349	0
91.0895	50.6755	0
-13.3379	-115.985	0
-26.4926	-34.6804	0
18.1987	-123.448	0
-9.64086	139.753	0
-19.7166	-138.645	0
-5.92376	23.9227	0
47.7948	4.28106	0
-45.3978	129.612	0
-55.5653	-124.095	0
60.8922	109.831	0
79.2423	-125.545	0
-86.3941	115.917	0
-81.5792	-109.274	0
5.71213	134.636	0
-137.365	-16.6199	0
-3.47753	157.738	0
1.42367	125.948	0
-100.056	-20.1346	0
62.5605	-133.853	0
-32.4025	144.419	0
-21.8091	-154.773	0
-127.239	16.5388	0
-34.332	-79.0268	0
54.8483	41.0231	0
46.8922	-124.077	0
48.0816	-87.5623	0
48.7389	28.7731	0
62.989	27.7732	0
52.0452	85.8001	0
-89.3747	-121.725	0
21.1515	118.741	0
-124.525	-20.1699	0
-4.60771	-0.774994	0
-5.34784	-144.556	0
-66.5136	136.839	0
-56.9608	-46.1795	0
-3.06593	116.675	0
-3.27882	54.1725	0
-57.2037	93.8371	0
-36.7228	-6.46506	0
-18.2052	49.5879	0
-131.304	50.3454	0
-133.109	-0.251253	0
-73.5546	-124.073	0
-19.7142	-49.8048	0
-42.7813	65.8671	0
-50.4814	-62.0501	0
4.4391	-115.402	0
31.8005	-40.2102	0
-62.8488	44.5697	0
29.0407	-146.958	0
-34.848	115.561	0
-58.6918	28.6582	0
-18.9661	34.9737	0
52.1878	-53.5521	0
-72.76	89.2772	0
-112.805	-63.2816	0
97.6176	-84.2572	0
-40.0518	98.9068	0
1.87973	-47.8874	0
-97.5063	-56.2173	0
-78.0525	-140.047	0
114.675	-59.1826	0
-52.429	111.845	0
-118.04	82.6105	0
-9.91857	-8.26811	0
110.382	17.7433	0
-87.6578	-12.1552	0
11.1964	-147.567	0
63.5124	-115.72	0
-66.4313	-88.708	0
-26.0553	39.3981	0
-45.0039	27.0856	0
-55.4922	59.2282	0
32.8245	-0.055581	0
51.1554	135.607	0
-78.2776	2.29052	0
-34.2629	-141.718	0
-18.8233	-72.0341	0
-50.1642	-146.127	0
-124.212	-91.8708	0
31.7117	-94.2899	0
15.9464	135.968	0
20.0191	-61.7133	0
-62.52	-29.9309	0
-12.1838	79.5665	0
46.7054	-142.363	0
49.5555	-70.053	0
138.71	19.1865	0
11.1943	-20.4368	0
-31.2822	-95.2464	0
112.983	-79.1582	0
98.4978	84.096	0
-96.5474	-72.0775	0
73.1596	-32.7428	0
-39.6997	-107.123	0
-35.0607	-21.7012	0
-128.369	-73.0682	0
-55.1102	141.932	0
-5.3331	68.697	0
2.22007	78.8275	0
80.0078	-106.666	0
33.296	132.021	0
-51.0605	-79.6289	0
-23.9623	129.632	0
8.64947	92.0554	0
16.1762	-102.232	0
-98.299	-106.598	0
117.956	-92.373	0
12.9531	3.56218	0
-22.4425	-1.26027	0
-32.3732	-62.262	0
-98.8215	35.5491	0
31.4344	-130.481	0
34.4845	76.4986	0
71.9615	-53.7426	0
5.6599	-132.254	0
95.2405	112.751	0
-3.3586	-21.2913	0
120.426	63.4632	0
-0.380075	8.69862	0
37.9221	90.465	0
-79.7926	-76.432	0
107.279	108.562	0
4.38543	-6.82029	0
-41.5307	-118.878	0
-46.4105	-32.7346	0
2.95016	-92.3811	0
5.62254	66.3704	0
67.7921	127.193	0
-99.2346	-89.1042	0
89.3127	-25.8505	0
-31.0999	72.5251	0
-33.4205	28.6905	0
136.192	-55.6906	0
108.206	72.1812	0
-44.4955	41.4345	0
-63.8796	-137.89	0
106.015	-28.9893	0
-101.909	46.9127	0
19.5324	-51.5362	0
48.6364	68.3361	0
-65.1354	122.974	0
-19.1926	-20.0076	0
114.574	-15.1091	0
66.1395	-47.2057	0
-9.478	111.24	0
-64.5658	-71.8492	0
-79.8568	131.614	0
109.635	0.189178	0
54.6088	-37.427	0
42.3107	-28.9288	0
-117.356	-31.3133	0
-46.8866	3.25339	0
21.2611	-133.566	0
23.8476	88.3084	0
-17.4075	-101.416	0
51.6313	17.109	0
6.9502	26.4645	0
102.924	-68.7857	0
106.205	56.0426	0
-56.9537	13.4303	0
-108.744	23.6722	0
19.2037	102.588	0
-111.8	-19.4672	0
-91.748	-135.494	0
-83.0461	-60.5072	0
46.0226	101.955	0